Rented Bike Count,Hour,Temperature(Â°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Day,Month,DayOfWeek,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
254,0.0,-5.2,37,2.2,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
204,1.0,-5.5,38,0.8,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
173,2.0,-6.0,39,1.0,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
107,3.0,-6.2,40,0.9,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
78,4.0,-6.0,36,2.3,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
100,5.0,-6.4,37,1.5,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
181,6.0,-6.6,35,1.5,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
460,7.0,-7.4,38,0.9,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
930,8.0,-7.6,37,1.1,2000,0.01,0.0,0.0,1,1,1,12,4,0,0,0,1
490,9.0,-6.5,27,0.5,1928,0.23,0.0,0.0,1,1,1,12,4,0,0,0,1
339,10.0,-3.5,24,1.2,1996,0.65,0.0,0.0,1,1,1,12,4,0,0,0,1
360,11.0,-0.5,21,1.3,1936,0.94,0.0,0.0,1,1,1,12,4,0,0,0,1
449,12.0,1.7,23,1.4,2000,1.11,0.0,0.0,1,1,1,12,4,0,0,0,1
451,13.0,2.4,25,1.6,2000,1.16,0.0,0.0,1,1,1,12,4,0,0,0,1
447,14.0,3.0,26,2.0,2000,1.01,0.0,0.0,1,1,1,12,4,0,0,0,1
463,15.0,2.1,36,3.2,2000,0.54,0.0,0.0,1,1,1,12,4,0,0,0,1
484,16.0,1.2,54,4.2,793,0.24,0.0,0.0,1,1,1,12,4,0,0,0,1
555,17.0,0.8,58,1.6,2000,0.08,0.0,0.0,1,1,1,12,4,0,0,0,1
862,18.0,0.6,66,1.4,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
600,19.0,0.0,77,1.7,2000,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
426,20.0,-0.3,79,1.5,1913,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
405,21.0,-0.8,81,0.8,1687,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
398,22.0,-0.9,83,1.5,1380,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
323,23.0,-1.3,84,1.0,1265,0.0,0.0,0.0,1,1,1,12,4,0,0,0,1
328,0.0,-1.8,87,1.1,994,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
308,1.0,-2.2,86,0.6,990,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
262,2.0,-2.9,86,1.5,1256,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
167,3.0,-3.5,81,2.2,1221,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
89,4.0,-3.8,79,2.0,1167,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
79,5.0,-4.0,79,1.5,1202,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
70,6.0,-4.3,82,2.1,1178,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
146,7.0,-4.4,81,2.5,1276,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
219,8.0,-4.2,79,2.1,1436,0.01,0.0,0.0,1,1,2,12,5,0,0,0,1
328,9.0,-2.9,68,1.6,1487,0.3,0.0,0.0,1,1,2,12,5,0,0,0,1
334,10.0,-0.4,57,1.6,1309,0.8,0.0,0.0,1,1,2,12,5,0,0,0,1
388,11.0,1.9,49,1.8,1406,1.0,0.0,0.0,1,1,2,12,5,0,0,0,1
479,12.0,4.3,41,1.3,1666,1.09,0.0,0.0,1,1,2,12,5,0,0,0,1
606,13.0,6.0,36,1.8,1780,1.12,0.0,0.0,1,1,2,12,5,0,0,0,1
611,14.0,7.3,35,1.3,1955,0.99,0.0,0.0,1,1,2,12,5,0,0,0,1
589,15.0,7.6,41,2.3,1953,0.74,0.0,0.0,1,1,2,12,5,0,0,0,1
618,16.0,6.4,48,2.6,1945,0.22,0.0,0.0,1,1,2,12,5,0,0,0,1
572,17.0,6.0,51,2.5,1891,0.06,0.0,0.0,1,1,2,12,5,0,0,0,1
489,18.0,5.5,53,1.5,1697,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
385,19.0,5.0,52,2.3,1666,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
359,20.0,4.6,51,1.2,1585,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
377,21.0,4.1,55,1.2,1448,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
354,22.0,3.5,54,1.5,1446,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
366,23.0,4.0,56,1.0,1352,0.0,0.0,0.0,1,1,2,12,5,0,0,0,1
342,0.0,4.0,58,1.4,1296,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
227,1.0,3.9,69,1.7,485,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
228,2.0,3.3,79,1.4,830,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
117,3.0,3.4,71,1.6,1011,0.0,0.5,0.0,1,1,3,12,6,0,0,0,1
76,4.0,3.5,73,1.0,1060,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
32,5.0,3.9,75,1.9,914,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
13,6.0,3.4,86,2.5,278,0.0,1.0,0.0,1,1,3,12,6,0,0,0,1
22,7.0,3.1,91,1.2,129,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
85,8.0,3.2,92,1.8,244,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
152,9.0,3.5,91,1.8,231,0.02,2.5,0.0,1,1,3,12,6,0,0,0,1
200,10.0,4.4,89,2.2,257,0.24,0.0,0.0,1,1,3,12,6,0,0,0,1
273,11.0,5.1,87,1.4,321,0.25,0.0,0.0,1,1,3,12,6,0,0,0,1
333,12.0,5.8,85,1.7,349,0.43,0.0,0.0,1,1,3,12,6,0,0,0,1
495,13.0,6.8,81,1.9,390,0.6,0.0,0.0,1,1,3,12,6,0,0,0,1
